month,scheme_id,stocks,observed_nav_weight
2023-08,absl:ABSLBCF,42,0.9833245529999999
2023-08,absl:ABSLESG,43,0.9734166180000002
2023-08,absl:ABSLMAAF,52,0.654346897
2023-08,absl:ABSLMCF,71,0.967951044
2023-08,absl:ABSLSO,59,0.9631900119999998
2023-08,absl:ADVG,71,0.9888104510000001
2023-08,absl:BDYP,54,0.8933928869999999
2023-08,absl:BINFRA,55,0.9633531840000001
2023-08,absl:BSL95F,79,0.7567750949999997
2023-08,absl:BSLBKFS,41,0.9639412579999999
2023-08,absl:BSLDAAF,106,0.6486256019999995
2023-08,absl:BSLEQTY,69,0.9872763720000005
2023-08,absl:BSLFEF,77,0.985368093
2023-08,absl:BSLMFG,43,0.9214932290000001
2023-08,absl:BSLNMF,28,0.9114412970000003
2023-08,absl:BSLPHF,29,0.9751832709999999
2023-08,absl:BSLR96,62,0.9768861010000004
2023-08,absl:BSLTA1,106,0.9266496489999999
2023-08,absl:BTOP100,28,0.984720374
2023-08,absl:GENNEXT,74,0.9437920179999999
2023-08,absl:MIDCAP,80,0.962019989
2023-08,absl:MNC,56,0.9898746880000002
2023-08,absl:PSUEQ,36,0.9774814089999997
2023-08,absl:PURE,75,0.9883541389999998
2023-08,axis:AXISBCF,45,0.9367000000000001
2023-08,axis:AXISDEF,46,0.7585000000000001
2023-08,axis:AXISEHF,50,0.7311000000000001
2023-08,axis:AXISEQF,40,0.9531999999999999
2023-08,axis:AXISESG,37,0.7304999999999999
2023-08,axis:AXISF25,23,0.8593
2023-08,axis:AXISGOF,61,0.7511999999999999
2023-08,axis:AXISMCF,66,0.9222
2023-08,axis:AXISMLC,57,0.9696999999999999
2023-08,axis:AXISMLF,56,0.9597999999999998
2023-08,axis:AXISQUA,50,0.9619
2023-08,axis:AXISSCF,93,0.8949000000000001
2023-08,axis:AXISSSF,38,0.7446999999999999
2023-08,axis:AXISTAF,45,0.7463999999999998
2023-08,axis:AXISTSF,41,0.9807000000000001
2023-08,axis:AXISVAL,51,0.9463999999999999
2023-08,dsp:DAAF,133,0.6549
2023-08,dsp:EQUITYOPPOR,70,0.9541000000000002
2023-08,dsp:FOCUS,28,0.9591
2023-08,dsp:Flexi Cap,55,0.9682000000000004
2023-08,dsp:HEALTHCARE,20,0.8723
2023-08,dsp:MIDCAP,54,0.9496
2023-08,dsp:NRNEF,18,0.7201000000000002
2023-08,dsp:QUANT,45,0.9907999999999998
2023-08,dsp:SMALLCAP,72,0.9471000000000002
2023-08,dsp:TAX,68,0.9795
2023-08,dsp:TIGER,63,0.9615
2023-08,dsp:TOP100,28,0.9291
2023-08,dsp:VALUE,55,0.6739
2023-08,hdfc:HDFCBKGFSF,27,0.9885999999999999
2023-08,hdfc:HDFCBUSICY,44,0.9511
2023-08,hdfc:HDFCCB,65,0.9923
