month,isin,return
2023-09,INE053F01010,0.5381521710450219
2023-09,INE161A01038,0.5163883738650317
2023-09,INE602W01019,0.5144927540439264
2023-10,INE096B01018,0.5205807515990268
2023-11,INE133Y01011,0.6870096789051312
2023-11,INE344E01016,0.89999997625
2023-11,INE583L01014,0.5971993410214167
2023-11,INE750C01026,0.5760303173901036
2023-12,INE066P01011,0.7816399286987523
2023-12,INE202E01016,0.5742725877095765
2023-12,INE510W01014,0.5387994143484627
2023-12,INE531E01026,0.581334874305016
2024-01,INE053F01010,0.7629592355196517
2024-01,INE095N01031,0.5873697117149097
2024-01,INE202E01016,0.7684824905903043
2024-01,INE549A01026,0.5979020979020979
2024-01,INE821I01022,0.5908543928156273
2024-01,INE881D01027,0.5479253703274698
2024-02,INE07K301024,0.5113006396588484
2024-02,INE158C01014,0.5999999412307693
2024-02,INE173J01018,0.5105415510298874
2024-02,INE764L01010,0.5233644859813085
2024-04,INE010J01012,0.7433729430910858
2024-04,INE302A01020,0.551141027679124
2024-04,INE777F01014,0.5173549531289587
2024-04,INE863B01011,0.603239797500212
2024-05,INE267A01025,0.6389453729071386
2024-06,INE382Z01011,0.5328611077432086
2024-07,INE004A01022,0.5790435086036578
2024-07,INE321D01016,-0.5877577892812167
2024-07,INE716B01029,0.5415135928085113
2024-08,INE260B01028,0.554654908848573
2024-08,INE602A01031,0.5031514220346904
2024-08,INE618F01010,0.5077025962901671
2024-09,INE059B01024,0.5135336017342833
2024-09,INE0G5901015,0.5508105970739421
2024-09,INE614G01033,0.5922774869109948
2024-09,INE618F01010,0.5091071023058804
2024-10,INE618F01010,0.5416543140765893
2024-11,INE0LCL01028,0.6230445752733389
2024-12,INE0UIZ01018,0.7775728513463664
2024-12,INE939A01011,-0.5967835632612031
2025-02,INE583L01014,-0.6152215799614644
2025-03,INE087A01019,-0.9785853010324032
2025-03,INE211R01019,0.5079206547993727
2025-03,INE583L01014,-0.586379569354031
2025-05,INE133Y01011,0.5238493848200279
2025-05,INE251B01027,0.5107314318172056
2025-05,INE301A01014,-0.5875728409611733
2025-05,INE382Z01011,0.5666145017956812
2025-05,INE461D01028,0.5643382354031583
2025-05,INE497S01012,0.6715709261430247
2025-05,INE647O01011,-0.6742553595143237
2025-05,INE872H01027,0.5578270467593778
2025-05,INE940H01022,0.5256660472934394
2025-08,INE0JR601024,0.5540943182985718
2025-09,INE0NT901020,0.6526997642344552
2025-10,INE640A01023,-0.5460174740393657
2025-12,INE531E01026,0.5850152908701094
2026-02,INE18JU01028,0.5380781499202552
2026-02,INE841L01016,0.5574369014233556
2026-02,INE871C01038,0.6093338356393079
2026-04,INE03QK01018,0.6030850887377674
2026-04,INE07U701015,0.978546482620988
2026-04,INE089C01029,0.6715808573372646
2026-04,INE0JA001018,0.5410514541317311
2026-04,INE0LXG01040,0.6035087719298247
2026-04,INE0OAF01028,0.7172650223788211
2026-04,INE108V01019,0.5236071970518101
2026-04,INE12UR01024,0.5008861208162438
2026-04,INE133Y01011,0.5433333334456802
2026-04,INE191B01025,0.5586932450877005
2026-04,INE1VXE01018,0.7437185929648242
2026-04,INE205A01025,-0.5852932193036041
2026-04,INE349Y01013,0.6387357094821791
2026-04,INE364U01010,0.5208204238443428
2026-04,INE382M01027,0.7990271377368152
2026-04,INE386D01027,0.5353873919992309
2026-04,INE841L01016,0.5510507718058395
2026-04,INE864I01014,0.8620699599157946
2026-04,INE947N01017,0.5529927248677249
2026-04,INE987S01020,0.5096296296296297
2026-05,INE045J01034,0.7402088776093132
2026-05,INE089C01029,0.8186906377204883
2026-05,INE234A01025,0.5105288694808345
2026-05,INE707A01012,0.6146822492706014
2026-06,INE085J01014,0.5216057455608789
2026-06,INE246B01019,0.8372706296011425
2026-07,INE303R01014,0.5841737782750642
