month,funds,stocks,rows,iterations
2023-08,156,155,6267,5
2023-09,160,161,6488,5
2023-10,165,170,6841,4
2023-11,166,167,6789,4
2023-12,170,177,7125,4
2024-01,167,172,7024,7
2024-02,169,172,7211,5
2024-03,166,169,7146,5
2024-04,169,177,7453,5
2024-05,169,174,7510,6
2024-06,172,181,7767,4
2024-07,172,181,7836,5
2024-08,180,184,8035,5
2024-09,188,204,8621,4
2024-10,188,207,8785,4
2024-11,195,218,9189,4
2024-12,198,214,9198,4
2025-01,204,211,9386,4
2025-02,202,208,9209,4
2025-03,201,201,9008,4
2025-04,200,204,9060,4
2025-05,202,200,8968,4
2025-06,201,206,9143,6
2025-07,211,213,9501,4
2025-08,212,214,9587,4
2025-09,216,223,9831,4
2025-10,183,196,8291,4
2025-11,222,235,10261,3
2025-12,219,235,10227,4
2026-01,216,228,9983,4
2026-02,222,238,10334,3
2026-03,218,231,10189,3
2026-04,223,235,10514,3
2026-05,220,232,10430,4
2026-06,222,239,10599,3
2026-07,227,240,10653,3
