month,isin,holders,mean_weight_among_holders,mean_weight_all_funds,market_value_crore,matched_fund_holder_change,matched_fund_mean_weight_change,matched_funds
2023-08,INE000000000,1,0.014,7.07070707070707e-05,39.3684,,,0
2023-08,INE002A01018,105,0.034610375971428575,0.018353987257575758,38256.0474239,,,0
2023-08,INE002L01015,5,0.0106676796,0.0002693858484848485,548.4107,,,0
2023-08,INE002S01010,3,0.006933333333333333,0.00010505050505050504,74.4412,,,0
2023-08,INE003A01024,35,0.014579341514285714,0.002577156328282828,2515.525014,,,0
2023-08,INE006I01046,15,0.016306666666666667,0.0012353535353535352,3115.518952,,,0
2023-08,INE007A01025,5,0.025094920599999997,0.0006337101161616161,921.3079,,,0
2023-08,INE009A01021,120,0.044566899516666675,0.027010242131313134,54095.3003355,,,0
2023-08,INE00E101023,3,0.004947104666666667,7.495613131313131e-05,69.8099,,,0
2023-08,INE00F201020,6,0.005816666666666667,0.00017626262626262626,356.881096,,,0
2023-08,INE00FF01017,3,0.014400000000000001,0.00021818181818181818,78.1734,,,0
2023-08,INE00LO01017,11,0.011711622636363635,0.000650645702020202,807.27460057,,,0
2023-08,INE00M201021,4,0.0183,0.0003696969696969697,362.8321,,,0
2023-08,INE00R701025,18,0.012844071499999998,0.0011676428636363636,1240.5875,,,0
2023-08,INE00WC01027,16,0.01156589375,0.0009346176767676768,1190.3022,,,0
2023-08,INE010A01011,4,0.009774999999999999,0.00019747474747474746,314.2994,,,0
2023-08,INE010B01027,28,0.014861098,0.002101569414141414,2604.10825,,,0
2023-08,INE010J01012,1,0.0137,6.919191919191919e-05,502.0756,,,0
2023-08,INE010V01017,9,0.010412579333333331,0.00047329906060606053,489.736777,,,0
2023-08,INE011K01018,13,0.009745877846153845,0.0006398808686868685,630.93849272,,,0
2023-08,INE012A01025,34,0.01066161994117647,0.0018307832222222223,2487.7278427,,,0
2023-08,INE016A01026,34,0.011547623,0.001982925161616162,2155.93824942,,,0
2023-08,INE017A01032,13,0.01130045123076923,0.0007419488181818182,1529.4102,,,0
2023-08,INE018A01030,104,0.03396633317307693,0.017840902272727274,33387.38031112,,,0
2023-08,INE018E01016,60,0.013397047716666666,0.004059711429292929,7715.898670369999,,,0
2023-08,INE019A01038,9,0.017203918999999998,0.0007819963181818182,295.99240125,,,0
2023-08,INE01BK01022,1,0.0438,0.00022121212121212121,20.1312,,,0
2023-08,INE01QM01018,3,0.008287543333333333,0.00012556883838383837,229.6359,,,0
2023-08,INE020801028,1,0.000120604,6.091111111111111e-07,2.086,,,0
2023-08,INE020B01018,21,0.01047982638095238,0.0011114967373737372,3285.9349,,,0
2023-08,INE021A01026,26,0.017709172884615383,0.0023254469444444446,2572.47083033,,,0
2023-08,INE021O01019,7,0.007741647142857143,0.00027369459595959596,541.053619375,,,0
2023-08,INE022Q01020,13,0.007338814230769232,0.00048184133838383847,1655.08821604,,,0
2023-08,INE024001021,1,0.0009,4.5454545454545455e-06,32.1045,,,0
2023-08,INE027H01010,12,0.017275,0.0010469696969696968,3094.5573,,,0
2023-08,INE028A01039,48,0.013712590791666665,0.0033242644343434336,5576.1706590349995,,,0
2023-08,INE029A01011,55,0.01228473118181818,0.003412425328282828,5189.9614136,,,0
2023-08,INE02A801020,6,0.00925,0.0002803030303030303,532.5559,,,0
2023-08,INE02NC01014,1,0.0053,2.6767676767676767e-05,9.9,,,0
2023-08,INE02PY01013,1,0.0047,2.3737373737373738e-05,57.206,,,0
2023-08,INE02YR01019,10,0.014679005900000004,0.0007413639343434345,438.3607447,,,0
2023-08,INE030A01027,80,0.0232731915875,0.009403309732323232,11316.478245280001,,,0
2023-08,INE031A01017,2,0.02515,0.000254040404040404,174.3129,,,0
2023-08,INE031B01049,26,0.012296603807692309,0.0016147055505050505,2013.6128036599998,,,0
2023-08,INE034A01011,1,0.0045,2.2727272727272726e-05,210.9616,,,0
2023-08,INE035D01020,1,0.0027,1.3636363636363637e-05,165.901,,,0
2023-08,INE036B01030,1,0.0062,3.131313131313131e-05,4.1015,,,0
